"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
FL-121,"Suwannee County",58.2,41,-1.6,59.8
FL-123,"Taylor County",58.6,45,-1.4,60
FL-125,"Union County",58.9,36,-1.8,60.7
FL-127,"Volusia County",65.0,58,0.1,64.9
FL-129,"Wakulla County",57.9,36,-1.6,59.5
FL-131,"Walton County",57.2,54,-0.7,57.9
FL-133,"Washington County",56.8,45,-1.4,58.2
GA-001,"Appling County",53.9,16,-3.3,57.2
GA-003,"Atkinson County",53.4,9,-4.0,57.4
GA-005,"Bacon County",53.6,10,-3.7,57.3
GA-007,"Baker County",54.6,25,-2.5,57.1
GA-009,"Baldwin County",52.4,46,-1.2,53.6
GA-011,"Banks County",49.9,53,-0.7,50.6
GA-013,"Barrow County",50.6,58,-0.3,50.9
GA-015,"Bartow County",48.6,45,-1.4,50
GA-017,"Ben Hill County",53.0,18,-3.2,56.2
GA-019,"Berrien County",53.1,7,-4.1,57.2
GA-021,"Bibb County",52.6,48,-1.3,53.9
GA-023,"Bleckley County",53.6,47,-1.4,55
GA-025,"Brantley County",55.6,25,-2.6,58.2
GA-027,"Brooks County",55.1,21,-2.7,57.8
GA-029,"Bryan County",55.2,26,-2.4,57.6
GA-031,"Bulloch County",54.5,43,-1.6,56.1
GA-033,"Burke County",53.6,54,-0.6,54.2
GA-035,"Butts County",52.0,61,-0.3,52.3
GA-037,"Calhoun County",54.5,32,-2.1,56.6
GA-039,"Camden County",58.0,39,-1.7,59.7
GA-043,"Candler County",54.5,44,-1.5,56
GA-045,"Carroll County",49.7,62,-0.5,50.2
GA-047,"Catoosa County",47.4,43,-1.5,48.9
GA-049,"Charlton County",57.0,31,-2.1,59.1
GA-051,"Chatham County",55.3,20,-2.6,57.9
GA-053,"Chattahoochee County",52.9,38,-1.9,54.8
GA-055,"Chattooga County",47.5,31,-2.1,49.6
GA-057,"Cherokee County",48.8,51,-0.8,49.6
GA-059,"Clarke County",50.8,57,-0.5,51.3
GA-061,"Clay County",54.9,41,-1.6,56.5
GA-063,"Clayton County",51.6,64,0.1,51.5
GA-065,"Clinch County",55.1,18,-3.2,58.3
GA-067,"Cobb County",49.8,57,-0.5,50.3
GA-069,"Coffee County",53.1,9,-3.8,56.9
GA-071,"Colquitt County",53.6,12,-3.5,57.1
GA-073,"Columbia County",52.4,52,-1.0,53.4
GA-075,"Cook County",53.5,9,-3.7,57.2
GA-077,"Coweta County",51.0,61,-0.4,51.4
GA-079,"Crawford County",52.5,49,-1.4,53.9
GA-081,"Crisp County",53.0,27,-2.4,55.4
GA-083,"Dade County",47.0,40,-1.7,48.7
GA-085,"Dawson County",48.1,53,-0.6,48.7
GA-087,"Decatur County",56.0,33,-2.1,58.1
GA-089,"DeKalb County",50.9,65,0.0,50.9
GA-091,"Dodge County",53.6,35,-2.0,55.6
GA-093,"Dooly County",53.2,40,-1.8,55
GA-095,"Dougherty County",53.7,19,-3.0,56.7
GA-097,"Douglas County",50.1,62,-0.3,50.4
GA-099,"Early County",55.3,36,-1.8,57.1
GA-101,"Echols County",55.9,24,-2.6,58.5
GA-103,"Effingham County",54.4,35,-2.0,56.4
GA-105,"Elbert County",50.6,60,-0.4,51
GA-107,"Emanuel County",54.2,52,-1.1,55.3
GA-109,"Evans County",54.7,31,-2.2,56.9
GA-111,"Fannin County",45.3,44,-1.4,46.7
GA-113,"Fayette County",51.5,61,-0.2,51.7
GA-115,"Floyd County",48.2,35,-1.9,50.1
GA-117,"Forsyth County",49.2,61,-0.4,49.6
GA-119,"Franklin County",49.8,50,-0.9,50.7
GA-121,"Fulton County",50.4,64,-0.2,50.6
GA-123,"Gilmer County",46.3,46,-1.3,47.6
GA-125,"Glascock County",52.5,55,-0.8,53.3
GA-127,"Glynn County",57.3,35,-2.1,59.4
GA-129,"Gordon County",48.1,39,-1.5,49.6
GA-131,"Grady County",55.8,33,-2.2,58
GA-133,"Greene County",51.5,56,-0.7,52.2
GA-135,"Gwinnett County",50.3,61,-0.2,50.5
GA-137,"Habersham County",47.9,43,-1.3,49.2
GA-139,"Hall County",49.6,59,-0.3,49.9
GA-141,"Hancock County",52.0,51,-1.1,53.1
GA-143,"Haralson County",48.7,52,-0.9,49.6
GA-145,"Harris County",51.8,43,-1.4,53.2
GA-147,"Hart County",49.9,53,-0.7,50.6
GA-149,"Heard County",50.6,60,-0.6,51.2
GA-151,"Henry County",51.9,64,-0.1,52
GA-153,"Houston County",53.2,47,-1.5,54.7
GA-155,"Irwin County",52.8,11,-3.6,56.4
GA-157,"Jackson County",50.4,56,-0.5,50.9
GA-159,"Jasper County",51.8,59,-0.4,52.2
GA-161,"Jeff Davis County",53.3,15,-3.3,56.6
GA-163,"Jefferson County",53.2,54,-0.7,53.9
GA-165,"Jenkins County",54.0,55,-0.6,54.6
GA-167,"Johnson County",53.7,51,-1.1,54.8
GA-169,"Jones County",52.1,47,-1.2,53.3
GA-171,"Lamar County",52.1,58,-0.7,52.8
GA-173,"Lanier County",53.8,9,-3.8,57.6
GA-175,"Laurens County",53.8,46,-1.5,55.3
GA-177,"Lee County",53.4,26,-2.6,56
GA-179,"Liberty County",55.5,22,-2.5,58
GA-181,"Lincoln County",51.5,49,-0.9,52.4
GA-183,"Long County",55.2,22,-2.7,57.9
GA-185,"Lowndes County",54.8,18,-3.1,57.9
GA-187,"Lumpkin County",47.3,54,-0.7,48
GA-189,"McDuffie County",52.1,56,-0.8,52.9
GA-191,"McIntosh County",56.7,27,-2.3,59
GA-193,"Macon County",53.0,46,-1.6,54.6
GA-195,"Madison County",50.3,57,-0.5,50.8
GA-197,"Marion County",52.6,38,-1.9,54.5
GA-199,"Meriwether County",51.5,58,-0.8,52.3
GA-201,"Miller County",55.4,33,-2.1,57.5
GA-205,"Mitchell County",54.3,19,-2.9,57.2
GA-207,"Monroe County",52.1,55,-0.9,53
GA-209,"Montgomery County",53.8,26,-2.4,56.2
GA-211,"Morgan County",51.5,59,-0.4,51.9
GA-213,"Murray County",47.5,44,-1.4,48.9
GA-215,"Muscogee County",52.6,36,-1.9,54.5
GA-217,"Newton County",51.6,64,-0.1,51.7
GA-219,"Oconee County",51.0,58,-0.5,51.5
GA-221,"Oglethorpe County",50.9,56,-0.4,51.3
GA-223,"Paulding County",49.2,53,-0.9,50.1
GA-225,"Peach County",52.8,48,-1.4,54.2
GA-227,"Pickens County",47.8,49,-1.0,48.8
GA-229,"Pierce County",54.6,21,-3.1,57.7
GA-231,"Pike County",52.0,57,-0.7,52.7
GA-233,"Polk County",48.7,50,-1.3,50
GA-235,"Pulaski County",53.6,44,-1.6,55.2
GA-237,"Putnam County",51.8,49,-0.8,52.6
GA-239,"Quitman County",54.3,40,-1.6,55.9
GA-241,"Rabun County",45.6,36,-1.6,47.2
GA-243,"Randolph County",54.0,35,-1.9,55.9
GA-245,"Richmond County",53.3,57,-0.8,54.1
GA-247,"Rockdale County",51.4,63,0.0,51.4
GA-249,"Schley County",52.9,40,-1.8,54.7
GA-251,"Screven County",53.9,50,-1.1,55
GA-253,"Seminole County",56.0,34,-2.0,58
GA-255,"Spalding County",52.1,59,-0.4,52.5
GA-257,"Stephens County",49.3,41,-1.4,50.7
GA-259,"Stewart County",53.4,38,-1.8,55.2
GA-261,"Sumter County",53.3,34,-2.0,55.3
GA-263,"Talbot County",52.0,43,-1.6,53.6
GA-265,"Taliaferro County",51.5,54,-0.8,52.3
GA-267,"Tattnall County",54.5,23,-2.6,57.1
GA-269,"Taylor County",52.4,41,-1.7,54.1
GA-271,"Telfair County",53.3,23,-2.9,56.2
GA-273,"Terrell County",53.6,28,-2.3,55.9
GA-275,"Thomas County",55.4,27,-2.4,57.8
GA-277,"Tift County",52.7,7,-3.9,56.6
GA-279,"Toombs County",54.0,23,-2.5,56.5
GA-281,"Towns County",44.9,46,-1.3,46.2
GA-283,"Treutlen County",54.1,44,-1.6,55.7
GA-285,"Troup County",51.2,56,-0.8,52
GA-287,"Turner County",52.8,20,-3.1,55.9
GA-289,"Twiggs County",53.1,45,-1.4,54.5
GA-291,"Union County",45.2,47,-1.2,46.4
GA-293,"Upson County",52.1,51,-1.2,53.3
GA-295,"Walker County",47.1,39,-1.8,48.9
GA-297,"Walton County",51.0,61,-0.2,51.2
GA-299,"Ware County",55.2,22,-3.0,58.2
GA-301,"Warren County",51.9,56,-0.9,52.8
GA-303,"Washington County",53.0,50,-1.1,54.1
GA-305,"Wayne County",55.0,21,-2.8,57.8
GA-307,"Webster County",53.2,35,-1.9,55.1
GA-309,"Wheeler County",53.7,26,-2.4,56.1
GA-311,"White County",47.3,52,-1.0,48.3
GA-313,"Whitfield County",47.5,40,-1.5,49
GA-315,"Wilcox County",53.2,28,-2.5,55.7
GA-317,"Wilkes County",51.4,57,-0.5,51.9
GA-319,"Wilkinson County",53.1,48,-1.4,54.5
GA-321,"Worth County",53.1,14,-3.3,56.4
ID-001,"Ada County",43.4,113,4.1,39.3
ID-003,"Adams County",36.0,113,3.7,32.3
ID-005,"Bannock County",38.2,120,5.6,32.6
ID-007,"Bear Lake County",34.8,124,6.3,28.5
ID-009,"Benewah County",39.1,118,4.6,34.5
